"","Date","Time","CO.GT.","PT08.S1.CO.","C6H6.GT.","PT08.S2.NMHC.","NOx.GT.","PT08.S3.NOx.","NO2.GT.","PT08.S4.NO2.","PT08.S5.O3.","T","RH","AH","Month","Year","Season","CO_8h_avg","C6H6_24h_avg","AQI_CO","AQI_C6H6","AQI_NOx","AQI_NO2","AQI","Dominant_Pollutant"
"1",2004-03-10,"18.00.00",2.6,1360,11.9,1046,166,1056,113,1692,1268,13.6,48.9,0.7578,"03","2004","Spring",2.6,11.9,29.5454545454545,169.62,113.438461538462,103.45,169.62,"C6H6"
"2",2004-03-10,"19.00.00",2,1292,9.4,955,103,1174,92,1559,972,13.3,47.7,0.7255,"03","2004","Spring",2.3,10.65,26.1363636363636,157.37,101.565384615385,91.6595744680851,157.37,"C6H6"
"3",2004-03-10,"20.00.00",2.2,1402,9,939,131,1140,114,1555,1074,11.9,54,0.7502,"03","2004","Spring",2.26666666666667,10.1,25.7575757575758,151.98,106.842307692308,103.638461538462,151.98,"C6H6"
"4",2004-03-10,"21.00.00",2.2,1376,9.2,948,172,1092,122,1584,1203,11,60,0.7867,"03","2004","Spring",2.25,9.875,25.5681818181818,147.958333333333,114.569230769231,105.146153846154,147.958333333333,"C6H6"
"5",2004-03-10,"22.00.00",1.6,1272,6.5,836,131,1205,116,1490,1110,11.2,59.6,0.7888,"03","2004","Spring",2.12,9.2,24.0909090909091,136.933333333333,106.842307692308,104.015384615385,136.933333333333,"C6H6"
"6",2004-03-10,"23.00.00",1.2,1197,4.7,750,89,1337,96,1393,949,11.2,59.2,0.7848,"03","2004","Spring",1.96666666666667,8.45,22.3484848484848,124.683333333333,88.531914893617,95.8297872340426,124.683333333333,"C6H6"
"7",2004-03-11,"00.00.00",1.2,1185,3.6,690,62,1462,77,1333,733,11.3,56.8,0.7603,"03","2004","Spring",1.85714285714286,7.75714285714286,21.1038961038961,113.366666666667,60.3829787234043,76.0212765957447,113.366666666667,"C6H6"
"8",2004-03-11,"01.00.00",1,1136,3.3,672,62,1453,76,1333,730,10.7,60,0.7702,"03","2004","Spring",1.75,7.2,19.8863636363636,104.266666666667,60.3829787234043,74.9787234042553,104.266666666667,"C6H6"
"9",2004-03-11,"02.00.00",0.9,1094,2.3,609,45,1579,60,1276,620,10.7,59.7,0.7648,"03","2004","Spring",1.5375,6.65555555555556,17.4715909090909,95.7805555555556,42.4528301886792,58.2978723404255,95.7805555555556,"C6H6"
"10",2004-03-11,"03.00.00",0.6,1010,1.7,561,106,1705,72,1235,501,10.3,60.2,0.7517,"03","2004","Spring",1.3625,6.16,15.4829545454545,89.71,102.130769230769,70.8085106382979,102.130769230769,"NOx"
"11",2004-03-11,"04.00.00",0.5,1011,1.3,527,21,1818,34,1197,445,10.1,60.5,0.7465,"03","2004","Spring",1.15,5.71818181818182,13.0681818181818,84.2977272727273,19.811320754717,32.0754716981132,84.2977272727273,"C6H6"
"12",2004-03-11,"05.00.00",0.7,1066,1.1,512,16,1918,28,1182,422,11,56.2,0.7366,"03","2004","Spring",0.9625,5.33333333333333,10.9375,79.5833333333333,15.0943396226415,26.4150943396226,79.5833333333333,"C6H6"
"13",2004-03-11,"06.00.00",0.7,1052,1.6,553,34,1738,48,1221,472,10.5,58.1,0.7353,"03","2004","Spring",0.85,5.04615384615385,9.65909090909091,76.0653846153846,32.0754716981132,45.2830188679245,76.0653846153846,"C6H6"
"14",2004-03-11,"07.00.00",1.1,1144,3.2,667,98,1490,82,1339,730,10.2,59.6,0.7417,"03","2004","Spring",0.8375,4.91428571428571,9.51704545454546,74.45,97.9148936170213,81.2340425531915,97.9148936170213,"NOx"
"15",2004-03-11,"08.00.00",2,1333,8,900,174,1136,112,1517,1102,10.8,57.4,0.7408,"03","2004","Spring",0.9375,5.12,10.6534090909091,76.97,114.946153846154,103.261538461538,114.946153846154,"NOx"
"16",2004-03-11,"09.00.00",2.2,1351,9.5,960,129,1079,101,1583,1028,10.5,60.6,0.7691,"03","2004","Spring",1.0875,5.39375,12.3579545454545,80.3234375,106.465384615385,101.188461538462,106.465384615385,"NOx"
"17",2004-03-11,"10.00.00",1.7,1233,6.3,827,112,1218,98,1446,860,10.8,58.4,0.7552,"03","2004","Spring",1.1875,5.44705882352941,13.4943181818182,80.9764705882353,103.261538461538,97.9148936170213,103.261538461538,"NOx"
"18",2004-03-11,"11.00.00",1.5,1179,5,762,95,1328,92,1362,671,10.5,57.9,0.7352,"03","2004","Spring",1.3,5.42222222222222,14.7727272727273,80.6722222222222,94.7872340425532,91.6595744680851,94.7872340425532,"NOx"
"19",2004-03-11,"12.00.00",1.6,1236,5.2,774,104,1301,95,1401,664,9.5,66.8,0.7951,"03","2004","Spring",1.4375,5.41052631578947,16.3352272727273,80.5289473684211,101.753846153846,94.7872340425532,101.753846153846,"NOx"
"20",2004-03-11,"13.00.00",1.9,1286,7.3,869,146,1162,112,1537,799,8.3,76.4,0.8393,"03","2004","Spring",1.5875,5.505,18.0397727272727,81.68625,109.669230769231,103.261538461538,109.669230769231,"NOx"
"21",2004-03-11,"14.00.00",2.9,1371,11.5,1034,207,983,128,1730,1037,8,81.1,0.8736,"03","2004","Spring",1.8625,5.79047619047619,21.1647727272727,85.1833333333333,121.165384615385,106.276923076923,121.165384615385,"NOx"
"22",2004-03-11,"15.00.00",2.2,1310,8.8,933,184,1082,126,1647,946,8.3,79.8,0.8778,"03","2004","Spring",2,5.92727272727273,22.7272727272727,86.8590909090909,116.830769230769,105.9,116.830769230769,"NOx"
"23",2004-03-11,"16.00.00",2.2,1292,8.3,912,193,1103,131,1591,957,9.7,71.2,0.8569,"03","2004","Spring",2.025,6.0304347826087,23.0113636363636,88.1228260869565,118.526923076923,106.842307692308,118.526923076923,"NOx"
"24",2004-03-11,"17.00.00",2.9,1383,11.2,1020,243,1008,135,1719,1104,9.8,67.6,0.8185,"03","2004","Spring",2.1125,6.24583333333333,24.0056818181818,90.7614583333333,127.95,107.596153846154,127.95,"NOx"
"25",2004-03-11,"18.00.00",4.8,1581,20.8,1319,281,799,151,2083,1409,10.3,64.2,0.8065,"03","2004","Spring",2.5,6.61666666666667,28.4090909090909,95.3041666666667,135.111538461538,110.611538461538,135.111538461538,"NOx"
"26",2004-03-11,"19.00.00",6.9,1776,27.4,1488,383,702,172,2333,1704,9.7,69.3,0.8319,"03","2004","Spring",3.175,7.36666666666667,36.0795454545455,106.988888888889,154.899653979239,114.569230769231,154.899653979239,"NOx"
"27",2004-03-11,"20.00.00",6.1,1640,24,1404,351,743,165,2191,1654,9.6,67.8,0.8133,"03","2004","Spring",3.7375,7.99166666666667,42.4715909090909,117.197222222222,148.303846153846,113.25,148.303846153846,"NOx"
"28",2004-03-11,"21.00.00",3.9,1313,12.8,1076,240,957,136,1707,1285,9.1,64,0.7419,"03","2004","Spring",3.9875,8.14166666666667,45.3125,119.647222222222,127.384615384615,107.784615384615,127.384615384615,"NOx"
"29",2004-03-11,"22.00.00",1.5,965,4.7,749,94,1325,85,1333,821,8.2,63.4,0.6905,"03","2004","Spring",3.8125,8.06666666666667,43.3238636363636,118.422222222222,93.7446808510638,84.3617021276596,118.422222222222,"C6H6"
"30",2004-03-11,"23.00.00",1,913,2.6,629,47,1565,53,1252,552,8.2,60.8,0.6657,"03","2004","Spring",3.6625,7.97916666666667,41.6193181818182,116.993055555556,44.3396226415094,51,116.993055555556,"C6H6"
"31",2004-03-12,"00.00.00",1.7,1080,5.9,805,122,1254,97,1375,816,8.3,58.5,0.6438,"03","2004","Spring",3.6,8.075,40.9090909090909,118.558333333333,105.146153846154,96.8723404255319,118.558333333333,"C6H6"
"32",2004-03-12,"01.00.00",1.9,1044,6.4,829,133,1247,110,1378,832,7.7,59.7,0.6308,"03","2004","Spring",3.475,8.20416666666667,39.4886363636364,120.668055555556,107.219230769231,102.884615384615,120.668055555556,"C6H6"
"33",2004-03-12,"02.00.00",1.4,988,4.1,718,82,1396,91,1304,692,7.1,61.8,0.6276,"03","2004","Spring",3.05,8.27916666666667,34.6590909090909,121.893055555556,81.2340425531915,90.6170212765958,121.893055555556,"C6H6"
"34",2004-03-12,"03.00.00",0.8,889,1.9,574,45,1680,48,1187,512,7,62.3,0.6261,"03","2004","Spring",2.2875,8.2875,25.9943181818182,122.029166666667,42.4528301886792,45.2830188679245,122.029166666667,"C6H6"
"35",2004-03-12,"04.00.00",0.5,831,1.1,506,21,1893,32,1134,384,6.1,65.9,0.6248,"03","2004","Spring",1.5875,8.27916666666667,18.0397727272727,121.893055555556,19.811320754717,30.188679245283,121.893055555556,"C6H6"
"36",2004-03-12,"05.00.00",0.6,847,1,501,30,1895,44,1155,394,6.3,65,0.6233,"03","2004","Spring",1.175,8.275,13.3522727272727,121.825,28.3018867924528,41.5094339622642,121.825,"C6H6"
"37",2004-03-12,"06.00.00",0.8,927,1.8,571,56,1685,71,1223,487,6.8,62.9,0.6234,"03","2004","Spring",1.0875,8.28333333333333,12.3579545454545,121.961111111111,54.1276595744681,69.7659574468085,121.961111111111,"C6H6"
"38",2004-03-12,"07.00.00",1.4,1091,4.4,730,109,1387,104,1361,748,6.4,65.1,0.6316,"03","2004","Spring",1.1375,8.33333333333333,12.9261363636364,122.777777777778,102.696153846154,101.753846153846,122.777777777778,"C6H6"
"39",2004-03-12,"08.00.00",4.4,1587,17.9,1236,307,897,141,1900,1400,7.3,63.1,0.6499,"03","2004","Spring",1.475,8.74583333333333,16.7613636363636,129.515277777778,140.011538461538,108.726923076923,140.011538461538,"NOx"
"40",2004-03-12,"09.00.00",4,1545,22.1,1353,275,767,114,2058,1588,9.2,56.2,0.6561,"03","2004","Spring",1.7375,9.27083333333333,19.7443181818182,138.090277777778,133.980769230769,103.638461538462,138.090277777778,"C6H6"
"41",2004-03-12,"10.00.00",3.1,1350,14,1118,187,912,122,1712,1237,13.2,41.7,0.632,"03","2004","Spring",1.95,9.59166666666667,22.1590909090909,143.330555555556,117.396153846154,105.146153846154,143.330555555556,"C6H6"
"42",2004-03-12,"11.00.00",2.7,1263,11.6,1037,216,969,143,1598,1167,14.3,38.4,0.6243,"03","2004","Spring",2.1875,9.86666666666667,24.8579545454545,147.822222222222,122.861538461538,109.103846153846,147.822222222222,"C6H6"
"43",2004-03-12,"12.00.00",2.1,1206,10.2,986,143,1035,113,1537,959,15,36.5,0.6195,"03","2004","Spring",2.3875,10.075,27.1306818181818,151.735,109.103846153846,103.45,151.735,"C6H6"
"44",2004-03-12,"13.00.00",2.5,1252,11,1016,160,1008,116,1593,983,16.1,34.5,0.6262,"03","2004","Spring",2.625,10.2291666666667,29.8295454545455,153.245833333333,112.307692307692,104.015384615385,153.245833333333,"C6H6"
